pCode,team,name,displayId,backNo,position,throwBat,birthday,heightWeight,AVG,G,PA,AB,R,H,2B,3B,HR,TB,RBI,SAC,SF,BB,IBB,HBP,SO,GDP,SLG,OBP,OPS,MultiHit,RISP_AVG,PH_AVG
68700,한화,이원석,한화37이원석,37,외야수,우투우타,1999년 03월 31일,177cm/80kg,0.203,129,248,212,60,43,7,0,4,62,24,7,2,23,0,4,51,4,0.292,0.290,0.582,11,0.149,0.500
52704,한화,이상혁,한화31이상혁,31,외야수,우투좌타,2001년 09월 14일,174cm/65kg,0.200,39,12,10,14,2,1,0,0,3,2,1,0,0,0,1,3,0,0.300,0.273,0.573,0,0.250,0.000
76812,한화,이재원,한화20이재원,20,포수,우투우타,1988년 02월 24일,185cm/98kg,0.200,98,151,125,4,25,2,1,1,32,12,8,3,14,0,1,23,3,0.256,0.280,0.536,3,0.162,0.000
79608,한화,안치홍,한화9안치홍,9,내야수,우투우타,1990년 07월 02일,178cm/97kg,0.172,66,196,174,9,30,4,0,2,40,18,4,1,16,2,1,39,4,0.230,0.245,0.475,5,0.238,0.200
52764,한화,허인서,한화59허인서,59,포수,우투우타,2003년 07월 11일,182cm/93kg,0.172,20,30,29,2,5,1,0,0,6,2,0,0,0,0,1,12,1,0.207,0.200,0.407,0,0.182,0.333
52769,한화,권광민,한화17권광민,17,외야수,좌투좌타,1997년 12월 12일,189cm/102kg,0.167,15,18,18,2,3,1,0,0,4,0,0,0,0,0,0,5,1,0.222,0.167,0.389,0,0.000,0.250
50704,한화,임종찬,한화9임종찬,9,외야수,우투좌타,2001년 09월 28일,184cm/85kg,0.167,17,35,30,2,5,1,0,1,9,2,0,0,5,0,0,13,0,0.300,0.286,0.586,1,0.200,0.000
69766,한화,유로결,한화33유로결,33,외야수,우투우타,2000년 05월 30일,186cm/83kg,0.154,20,16,13,1,2,0,0,0,2,0,2,0,0,0,1,4,0,0.154,0.214,0.368,0,0.000,0.000
66715,한화,김인환,한화37김인환,37,내야수,우투좌타,1994년 01월 28일,186cm/100kg,0.080,10,26,25,2,2,0,0,1,5,3,0,0,1,0,0,9,1,0.200,0.115,0.315,0,0.167,0.000
50709,한화,박정현,한화63박정현,63,내야수,우투우타,2001년 07월 27일,183cm/80kg,0.000,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.000,0.000,0.000,0,0.000,0.000
55710,한화,이민재,한화9이민재,9,외야수,우투좌타,2004년 03월 07일,184cm/80kg,0.000,3,4,4,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.000,0.000,0.000,0,0.000,0.000
54305,키움,이재상,키움5이재상,5,내야수,우투우타,2005년 04월 17일,183cm/85kg,0.500,2,2,2,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0.500,0.500,1.000,0,0.000,0.000
65357,키움,송성문,키움24송성문,24,내야수,우투좌타,1996년 08월 29일,183cm/88kg,0.315,144,646,574,103,181,37,4,26,304,90,0,3,68,5,1,96,6,0.530,0.387,0.917,53,0.372,0.333
51302,키움,이주형,키움58이주형,58,내야수,좌투좌타,2002년 07월 05일,183cm/105kg,0.313,11,17,16,2,5,0,0,0,5,2,0,0,1,0,0,7,0,0.313,0.353,0.666,1,0.600,0.143
76267,키움,최주환,키움53최주환,53,내야수,우투좌타,1988년 02월 28일,177cm/73kg,0.275,120,506,459,45,126,31,1,12,195,74,0,6,36,2,5,66,8,0.425,0.330,0.755,33,0.291,0.500
