pCode,team,name,displayId,backNo,position,throwBat,birthday,heightWeight,ERA,G,W,L,SV,HLD,WPCT,IP,H,HR,BB,HBP,SO,R,ER,WHIP,CG,SHO,QS,BSV,TBF,NP,OAVG,2B,3B,SAC,SF,IBB,WP,BK
55130,LG,톨허스트,LG30톨허스트,30,투수,우투우타,1999년 09월 13일,193cm/86kg,2.86,8,6,2,0,0,0.750,44,39,2,16,2,45,15,14,1.25,0,0,5,0,184,713,0.238,7,1,1,1,1,1,0
61101,LG,임찬규,LG1임찬규,1,투수,우투우타,1992년 11월 20일,185cm/80kg,3.03,27,11,7,0,0,0.611,160 1/3,163,9,40,6,107,61,54,1.27,1,1,15,0,670,2490,0.265,38,3,5,4,1,1,0
55146,LG,치리노스,LG치리노스,,투수,우투우타,1993년 12월 26일,188cm/102kg,3.31,30,13,6,0,0,0.684,177,173,5,36,9,137,71,65,1.18,0,0,17,0,737,2809,0.253,26,1,8,1,0,4,0
67143,LG,손주영,LG29손주영,29,투수,좌투좌타,1998년 12월 02일,191cm/95kg,3.41,30,11,6,0,0,0.647,153,153,8,49,4,132,67,58,1.32,0,0,14,0,644,2496,0.262,20,2,5,3,0,6,0
75867,LG,김진성,LG42김진성,42,투수,우투우타,1985년 03월 07일,186cm/90kg,3.44,78,6,4,1,33,0.600,70 2/3,61,7,24,0,63,28,27,1.20,0,0,0,7,291,1235,0.236,7,3,2,7,1,1,0
51111,LG,송승기,LG13송승기,13,투수,좌투좌타,2002년 04월 10일,181cm/90kg,3.50,28,11,6,0,0,0.647,144,149,15,49,1,125,61,56,1.38,0,0,10,0,629,2523,0.261,25,1,5,4,0,2,0
65109,LG,백승현,LG61백승현,61,투수,우투우타,1995년 05월 26일,183cm/90kg,3.90,33,1,0,0,2,1.000,30,28,2,28,1,27,13,13,1.87,0,0,0,0,146,583,0.246,3,1,2,1,1,3,0
54119,LG,에르난데스,LG에르난데스,,투수,우투우타,1995년 05월 03일,185cm/97kg,4.23,14,4,4,0,0,0.500,66,53,7,24,5,73,32,31,1.17,0,0,7,0,276,1142,0.219,14,0,0,5,0,3,0
63950,LG,장현식,LG50장현식,50,투수,우투우타,1995년 02월 24일,181cm/91kg,4.35,56,3,3,10,5,0.500,49 2/3,65,4,21,5,38,27,24,1.73,0,0,0,1,234,884,0.317,16,1,3,0,1,4,0
51526,LG,우강훈,LG20우강훈,20,투수,우언우타,2002년 10월 03일,183cm/88kg,4.66,11,0,0,0,0,-,9 2/3,12,0,6,2,5,5,5,1.86,0,0,0,0,46,180,0.324,2,0,0,1,0,0,0
53139,LG,박명근,LG39박명근,39,투수,우언우타,2004년 03월 27일,174cm/75kg,4.89,44,3,4,4,10,0.429,38 2/3,36,5,16,5,30,21,21,1.34,0,0,0,1,168,638,0.250,5,1,2,1,2,0,1
69134,LG,이정용,LG31이정용,31,투수,우투우타,1996년 03월 26일,186cm/85kg,5.03,39,6,1,1,7,0.857,34,32,3,12,2,26,19,19,1.29,0,0,0,1,139,575,0.258,3,1,1,0,0,0,0
